GSM1555085	GSM1555086	GSM1555087	GSM1555088	GSM1555089	GSM1555090	GSM1555091	GSM1555092	GSM1555093	GSM1555094	GSM1555095	GSM1555096
Lable	0	0	0	0	0	0	0	1	1	1	1	1
ARHGAP11A	1.76860236587905	-0.0609633020622038	-0.0887969367707546	2.05448626386443	0.370228750746442	0.311201356538292	-0.816033751516188	-0.695394734011721	-0.908589518109989	-0.992359456424836	-0.500995696761078	-0.44138534137144
CACNB2	-0.880022615598123	-1.02134880794365	-0.993316600469308	-1.33804133434362	0.512801168264823	-1.1411898268827	0.577994244966187	0.816652956399281	0.469608021639807	0.354475897877578	1.2911388367013	1.35124805938842
CCNA2	1.75154003898877	1.51131512796118	-0.1428360971206	0.881543107114174	0.804502808738829	-0.432015593070306	0.00703607995426811	-0.797245724701401	-0.850908517523921	-1.21290959800195	-0.636371619180713	-0.883650013158331
CCNB1	1.31220505620922	1.30064384629451	0.300230469341191	1.17173239274443	0.77452832327834	0.187477400392188	0.110940503069888	-0.895810756519419	-0.915509725219336	-1.35104433532177	-0.899599895661501	-1.09579327860773
CCNE1	1.66820599328181	1.47419531219888	-0.222559710317131	1.24961436605322	0.39027112646104	0.336802917041011	-0.738235741910876	-0.787686774719474	-0.553856029605611	-0.852630890711527	-0.842494717770598	-1.12162585000075
CDC45	1.46195852099585	1.75918286786903	-0.258409919205741	1.11527757166611	0.565553607950406	-0.662082562430278	0.0352675638393617	-0.656896595712974	-0.334360317281635	-0.752375994784872	-1.0866561985602	-1.18645854434506
CDC6	1.68103600801008	0.947206768919275	-0.196395813583656	1.64342349280971	0.673573750138341	0.0501278349844361	-0.512531922160061	-1.10149933344148	-0.798910956183073	-0.985219353859211	-0.787726911537478	-0.613083564096884
CDCA3	0.747884876306662	2.18737206124797	-0.440169279555269	0.976448217803836	0.648112195131915	-0.0624913803583184	0.200840950800333	-0.412922144902761	-0.68229055844531	-1.27065072269057	-0.901820210971098	-0.990314004367388
DBNDD1	-0.00182210429613656	2.15084918603796	0.933805049769197	1.20264605948874	-1.00165777470089	0.352717969787648	-0.39048400753521	-0.608895821793761	-0.541339870134513	-0.0420828403678116	-1.04686309956414	-1.00687274669109
E2F8	1.79502306925539	0.754708304763339	0.201860382016902	1.20663043288814	0.895551569036257	0.405997230279294	-0.734879041576314	-1.12394520393066	-0.866781114284849	-0.663195195409625	-0.930289004846358	-0.940681428191517
FOXM1	1.23809756359397	1.93510619277878	-0.298591377755837	0.979460563476792	0.787297282179235	-0.0106957814539154	-0.286274315450493	-0.633338090254056	-0.660174817429346	-0.870680003760178	-1.10408391899515	-1.07612329692981
KIF11	1.4420709684031	1.2502554857534	0.346821174096578	1.2171453963002	0.689436796405699	0.274870304110913	-0.208205725866688	-1.25846215188227	-0.989530859383317	-0.74064024255612	-1.04418715273694	-0.979573992644568
LTBP4	-1.35615143246146	-0.740567563771521	-1.40554585922544	-1.46381609652164	0.349032919277317	0.440301166187116	0.848109533421066	1.03515298563446	1.20187254602984	-0.170987936784751	0.872921606510736	0.38967813170428
MEF2C	-1.28569255731683	-1.07080685722498	-1.0804332863878	-1.60638890488571	0.911774327737748	0.165003174105316	0.247012050245398	0.388807453613906	0.848658929079937	0.215685329349739	0.980188217293962	1.28619212438931
MMRN2	-1.25425421743244	-0.741991161356384	-0.766258204213608	-1.36002552965457	1.33428924270162	-0.845191617824059	-0.211033885312466	0.924127367275682	-0.0126556139884336	0.672328553216502	0.99111699487221	1.26954807171595
MYLK	-1.1381039667486	-1.04260111168296	-0.943538972440076	-1.80676051313379	0.87596587032638	-0.121460953703029	0.862219453286096	0.574938933927954	1.00598512040821	-0.0409831965876341	0.789238363951636	0.985100972395814
PKMYT1	0.480574949617159	2.37482728211961	-1.0150089315619	0.0213746103258367	0.768823894470109	0.00562778857368133	0.314485356957097	0.168513705265019	-0.0259468974535317	-0.992277388771967	-1.35688501358523	-0.744109355955868
PTTG1	0.964764436824845	1.29914053349042	0.623602723621517	0.777882306194469	1.34913556847101	-0.111877202344572	0.166596808899051	-0.799575484525193	-0.608923192484245	-1.04183309661783	-1.34236654629557	-1.2765468552339
RAD51	1.357773189822	1.06457859048551	-0.18164575858681	1.68020963450824	0.956366872384897	0.013687089658607	-0.613624943537636	-0.990164732181977	-0.473071948301549	-0.822906273399606	-1.07249085761284	-0.918710863238832
RRM2	1.20693080907111	1.35367880984248	0.151237072806134	0.986823442214236	1.16002067352807	0.10850926585972	-0.193333491746132	-0.858779489392506	-0.548371813523874	-0.54501948979027	-1.45043840341566	-1.37125738545331
SORBS1	-0.548355529010275	-1.95737093007459	-0.721815194311198	-1.48426498162722	1.09950537229946	0.221082154094217	0.536785455286237	0.319680663617493	0.364242489448783	0.123382564815348	0.668205296306398	1.37892263915535
STIL	1.01109386160801	1.51638239874896	-0.158304993966923	1.39311687273063	1.06246305377075	-0.366528894288024	-1.10143145800902	-0.861868156444511	-0.874146955038293	0.201591505440504	-0.792827835905808	-1.02953939864628
SYNE1	-1.05313384178015	-0.849006426391648	-0.704119314701258	-2.12851935257417	0.474292549615622	0.377478937091807	-0.260781780033948	1.00334774974449	0.436362520061936	0.73408024242209	1.11114890943486	0.858849807110364
TMEM8A	0.469995319148214	1.41531675714372	0.00493831021822673	0.851702553584291	0.230531098660998	0.186136440846296	0.955803289754281	-1.06620921421863	-0.308867144159142	0.573275004998657	-1.62775344658291	-1.684868969394
