row,col
2,1
11,1
22,1
40,1
53,1
61,1
62,2
4,3
12,3
76,4
28,5
80,5
7,6
18,6
36,6
49,6
57,6
58,7
97,8
72,9
97,9
24,10
76,10
14,11
32,11
45,11
53,11
54,12
39,13
93,13
68,14
93,14
20,15
72,15
28,16
41,16
49,16
50,17
35,18
89,18
64,19
89,19
68,20
24,21
37,21
45,21
46,22
31,23
85,23
60,24
85,24
64,25
99,25
33,26
41,26
42,27
38,28
81,28
97,28
56,29
81,29
60,30
95,30
37,31
38,32
39,32
34,33
77,33
93,33
100,33
52,34
77,34
56,35
91,35
98,37
73,38
89,38
96,38
99,38
48,39
73,39
52,40
87,40
94,42
69,43
85,43
92,43
95,43
69,44
48,45
83,45
97,45
90,47
65,48
81,48
88,48
91,48
65,49
79,50
93,50
86,52
100,52
61,53
77,53
84,53
87,53
61,54
75,55
89,55
82,57
96,57
97,57
73,58
80,58
83,58
97,58
71,60
85,60
78,62
92,62
93,62
69,63
76,63
79,63
93,63
67,65
81,65
74,67
88,67
89,67
72,68
75,68
89,68
77,70
84,72
85,72
85,73
80,77
81,77
81,78
99,81
95,86
